Ticker,Company Name
TRIS3.SA,TRISUL ON
TAEE11.SA,TAESA UNT
TRPL4.SA,TRAN PAULIST PN
TRPN3.SA,TARPON INV ON
UGPA3.SA,ULTRAPAR ON NM
UNIP3.SA,UNIPAR ON
UNIP6.SA,UNIPAR PNB
USIM3.SA,USIMINAS ON
USIM5.SA,USIMINAS PNA
TESA3.SA,TERRA SANTA ON
VALE3.SA,VALE ON
VIVR3.SA,VIVER ON
VIVT3.SA,TELEF BRASIL ON
VIVT4.SA,TELEF BRASIL PN
VLID3.SA,VALID ON
WEGE3.SA,WEG ON
BRSR5.SA,BANRISUL PNA
CESP5.SA,CESP PNA
ELPL3.SA,ELETROPAULO ON
SANB4.SA,SANTANDER BRPN
STBP3.SA,Santos Brasil Participacoes
CCXC3.SA,CCX CARVAO ON
CESP3.SA,CESP ON
CGRA3.SA,GRAZZIOTIN ON
CLSC4.SA,CELESC PN
COCE3.SA,COELCE ON
TASA3.SA,Taurus Armas ON
COGN3.SA,Cogna Educacao
LCAM3.SA,LOCAMERICA ON NM
RADL3.SA,RAIADROGASIL ON
UCAS3.SA,UNICASA ON
ALUP11.SA,Alupar Invest Unit
ANIM3.SA,Anima ON
BBSE3.SA,BBSEGURIDADE ON NM
BSEV3.SA,Biosev ON
CPRE3.SA,CPFL RENOVAVON NM
CVCB3.SA,CVC BRASIL ON NM
LINX3.SA,LINX ON NM
SEER3.SA,Ser Educa ON
SMLS3.SA,Smiles Fidelidade
TUPY3.SA,Tupy ON
SQIA3.SA,Senior Solution
BIOM3.SA,Biomm On
KLBN11.SA,KLABIN S/A UNT N2
NUTR3.SA,Nutriplant
BAZA3.SA,Banco da Amazonia SA ON
HGBS11.SA,CSHG Brasil Shopping
HGPO11.SA,CSHG JHSF Prime Offices
MBRF11.SA,Mercantil do Brasil
TCNO3.SA,Tecnosolo Engenharia SA ON
ABCP11.SA,FII ABC IMOB
RBED11.SA,Fdo Inv Imob Rio Bravo Renda Educacional
BBPO11.SA,FII BB PRGII
BBRC11.SA,FII BB CORP
BBVJ11.SA,FII C JARDIM
BPFF11.SA,FII ABSOLUTO
BRCR11.SA,FII BC FUND
CTXT11.SA,FII C TEXTIL
CXTL11.SA,FII CX TRX
EURO11.SA,FII EUROPAR
RCRB11.SA,FII Rio Bravo Renda Corporativa
FIGS11.SA,FII GEN SHOP
FIXX11.SA,FII FATORFIX
FLMA11.SA,FII S F LIMA
FPAB11.SA,FII A BRANCA
HMOC11.SA,FII GWI RI
HGCR11.SA,FII CSHG CRI
HGLG11.SA,FII CSHG LOG
HGRE11.SA,FII HG REAL
JSRE11.SA,FII JS REAL
KNCR11.SA,FII KINEA RI
KNRE11.SA,FII KII REAL
KNRI11.SA,FII KINEA
MXRF11.SA,FII MAXI REN
ONEF11.SA,FII THE ONE
PQDP11.SA,FII D PEDRO
PRSV11.SA,FII P VARGAS
RBBV11.SA,FII JHSF FBV
RBCB11.SA,FII RIOBRCIB
RBGS11.SA,FII RB GSB I
RBRD11.SA,FII RB II
RBVO11.SA,FII RIOBCRI2
RDES11.SA,FII RD ESCRI
RNDP11.SA,FII BB R PAP
RNGO11.SA,FII RIONEGRO
SAAG11.SA,FII SANT AGE
SDIL11.SA,FII SDI LOG
SHPH11.SA,FII HIGIENOP
SPTW11.SA,FII SP DOWNT
TBOF11.SA,FII TBOFFICE
TRXL11.SA,FII TRX LOG
VLOL11.SA,FII OLIMPIA
VRTA11.SA,FII FATOR VE
XPCM11.SA,FII XP MACAE
XTED11.SA,FII TRXE COR
SANB3.SA,SANTANDER BRON
SEDU3.SA,SOMOS EDU S/A ON
FRAS3.SA,Fras Le SA
GEPA4.SA,Duke Energy Intl Geracao Para
OFSA3.SA,Ouro Fino Saude Animal Particip
RLOG3.SA,Cosan Logistica SA
TOYB3.SA,Tec Toy SA
AAPL34.SA,Apple Inc BDR
ABTT34.SA,Abbott Laboratories BDR
AMGN34.SA,Amgen Inc BDR
AMZO34.SA,Amazon.com Inc BDR
ARMT34.SA,ArcelorMittal BDR
ATTB34.SA,ATT Inc BDR
AXPB34.SA,American Express Co BDR
BERK34.SA,Berkshire Hathaway BDR
BOAC34.SA,Bank of America Corp BDR
CATP34.SA,Caterpillar Inc BDR
CMCS34.SA,Comcast Corp BDR
COCA34.SA,The Coca Cola Co BDR
CSCO34.SA,Cisco Systems Inc BDR
DISB34.SA,Walt Disney Co BDR
EXXO34.SA,Exxon Mobil Corp BDR
FDMO34.SA,Ford Motor Co BDR
GEOO34.SA,General Electric Co BDR
GSGI34.SA,Goldman Sachs Group BDR
HALI34.SA,Halliburton Co BDR
HOME34.SA,Home Depot Inc BDR
HPQB34.SA,Hewlett Packard Co BDR
ITLC34.SA,Intel Corp BDR
JNJB34.SA,Johnson Johnson BDR
JPMC34.SA,JPMorgan Chase Co BDR
LMTB34.SA,Lockheed Martin Corp BDR
MMMC34.SA,3M Co BDR
MRCK34.SA,Merck Co Inc BDR
MSCD34.SA,MasterCard Inc BDR
MSFT34.SA,Microsoft Corp BDR
NIKE34.SA,Nike Inc BDR
ORCL34.SA,Oracle Corp BDR
PFIZ34.SA,Pfizer Inc BDR
