Ticker,Company Name
BSEV3,Biosev ON
CPRE3,CPFL RENOVAVON NM
CVCB3,CVC BRASIL ON NM
LINX3,LINX ON NM
SEER3,Ser Educa ON
SMLS3,Smiles Fidelidade
TUPY3,Tupy ON
SQIA3,Senior Solution
BIOM3,Biomm On
KLBN11,KLABIN S/A UNT N2
NUTR3,Nutriplant
BAZA3,Banco da Amazonia SA ON
HGBS11,CSHG Brasil Shopping
HGPO11,CSHG JHSF Prime Offices
MBRF11,Mercantil do Brasil
TCNO3,Tecnosolo Engenharia SA ON
ABCP11,FII ABC IMOB
RBED11,Fdo Inv Imob Rio Bravo Renda Educacional
BBPO11,FII BB PRGII
BBRC11,FII BB CORP
BBVJ11,FII C JARDIM
BPFF11,FII ABSOLUTO
BRCR11,FII BC FUND
CTXT11,FII C TEXTIL
CXTL11,FII CX TRX
EURO11,FII EUROPAR
RCRB11,FII Rio Bravo Renda Corporativa
FIGS11,FII GEN SHOP
FIXX11,FII FATORFIX
FLMA11,FII S F LIMA
FPAB11,FII A BRANCA
HMOC11,FII GWI RI
HGCR11,FII CSHG CRI
HGLG11,FII CSHG LOG
HGRE11,FII HG REAL
JSRE11,FII JS REAL
KNCR11,FII KINEA RI
KNRE11,FII KII REAL
KNRI11,FII KINEA
MXRF11,FII MAXI REN
ONEF11,FII THE ONE
PQDP11,FII D PEDRO
PRSV11,FII P VARGAS
RBBV11,FII JHSF FBV
RBCB11,FII RIOBRCIB
RBGS11,FII RB GSB I
RBRD11,FII RB II
RBVO11,FII RIOBCRI2
RDES11,FII RD ESCRI
RNDP11,FII BB R PAP
RNGO11,FII RIONEGRO
SAAG11,FII SANT AGE
SDIL11,FII SDI LOG
SHPH11,FII HIGIENOP
SPTW11,FII SP DOWNT
TBOF11,FII TBOFFICE
TRXL11,FII TRX LOG
VLOL11,FII OLIMPIA
VRTA11,FII FATOR VE
XPCM11,FII XP MACAE
XTED11,FII TRXE COR
SANB3,SANTANDER BRON
SEDU3,SOMOS EDU S/A ON
FRAS3,Fras Le SA
GEPA4,Duke Energy Intl Geracao Para
OFSA3,Ouro Fino Saude Animal Particip
RLOG3,Cosan Logistica SA
TOYB3,Tec Toy SA
AAPL34,Apple Inc BDR
ABTT34,Abbott Laboratories BDR
AMGN34,Amgen Inc BDR
AMZO34,Amazon.com Inc BDR
ARMT34,ArcelorMittal BDR
ATTB34,ATT Inc BDR
AXPB34,American Express Co BDR
BERK34,Berkshire Hathaway BDR
BOAC34,Bank of America Corp BDR
CATP34,Caterpillar Inc BDR
CMCS34,Comcast Corp BDR
COCA34,The Coca Cola Co BDR
CSCO34,Cisco Systems Inc BDR
DISB34,Walt Disney Co BDR
EXXO34,Exxon Mobil Corp BDR
FDMO34,Ford Motor Co BDR
GEOO34,General Electric Co BDR
GSGI34,Goldman Sachs Group BDR
HALI34,Halliburton Co BDR
HOME34,Home Depot Inc BDR
HPQB34,Hewlett Packard Co BDR
ITLC34,Intel Corp BDR
JNJB34,Johnson Johnson BDR
JPMC34,JPMorgan Chase Co BDR
LMTB34,Lockheed Martin Corp BDR
MMMC34,3M Co BDR
MRCK34,Merck Co Inc BDR
MSCD34,MasterCard Inc BDR
MSFT34,Microsoft Corp BDR
NIKE34,Nike Inc BDR
ORCL34,Oracle Corp BDR
PFIZ34,Pfizer Inc BDR
PGCO34,Procter Gamble Co BDR
SBUB34,Starbucks Corp BDR
VERZ34,Verizon Communications BDR
VISA34,Visa Inc BDR
WALM34,Wal Mart Stores Inc BDR
WFCO34,Wells Fargo Co BDR
WIZS3,FPC Par Corretora De Seguros
BOEI34,Boeing Co BDR
CHVX34,Chevron Corp BDR
COPH34,ConocoPhillips DRC
CTGP34,Citigroup Inc BDR
FBOK34,Facebook Inc BDR
IBMB34,International Business Machines BDR
LILY34,Eli Lilly and Co BDR
MCDC34,McDonalds Corp BDR
MFII11,Fundo Investimento Imobil Merito
MSBR34,Morgan Stanley Bank AG
NFLX34,Netflix Inc DRC
PEPB34,PepsiCo Inc BDR
SLBG34,Schlumberger AG
UPSS34,United Parcel Service Inc
USBC34,U.S. Bancorp DRC
GUAR3,Guararapes Confeccoes ON
ACNB34,Accenture PLC BDR
